
Rolled: [13, 20] at 2024-07-22 15:27:27.774712
Rolled: [4, 12] at 2024-07-22 15:27:34.672283
Rolled: [12, 3] at 2024-07-22 15:27:54.421027
Rolled: [12, 15] at 2024-07-22 15:34:06.226136
Rolled: [18, 17] at 2024-07-22 15:42:47.232152
Rolled: [7, 17] at 2024-07-22 15:43:48.810590
Rolled: [2, 12] at 2024-07-22 15:44:12.121652
Rolled: [1, 14] at 2024-07-22 15:46:11.999768
Rolled: [5, 11] at 2024-07-22 15:48:26.654413
Rolled: [17, 17] at 2024-07-22 15:48:29.275452
Rolled: [2, 16] at 2024-07-22 15:48:31.564311
